title,link,source,date,snippet,page
Opinion: My son died fighting for Isis in Syria. This is my message to Shamima Begum,https://www.independent.co.uk/voices/shamima-begum-isis-uk-citizenship-revoked-bangladesh-syria-islamic-state-terror-a8789786.html,The Independent,21 Feb 2019,Shamima Begum is a teenager who has undoubtedly made the wrong choices but those choices have been manipulated by malicious forces.,2
ISIS brides' return to Belgium BLOCKED by courts - but country agrees to let children in,https://www.express.co.uk/news/world/1094078/ISIS-brides-return-to-Belgium-BLOCKED-by-courts-but-country-agrees-to-let-children-in,Daily Express,28 Feb 2019,A Belgian court has overturn a judgment forcing it to bring two Belgian women convicted of being ISIS militants back into the country.,1
ITV This Morning: Nigel Havers reveals AWKWARD snub after hosting stint,https://www.express.co.uk/showbiz/tv-radio/1089919/ITV-This-Morning-Nigel-Havers-Richard-Madeley-Good-Morning-Britain-Eamonn-Ruth-ITV-video,Daily Express,20 Feb 2019,THIS MORNING guest presenter Nigel Havers has revealed the response he received from the show bosses after the former Coronation Street star revealed his...,1
Bungling NHS bosses paid nurse for 17 MONTHS after she quit job – then blamed her!,https://www.express.co.uk/news/uk/1093303/Nhs-news-nurse-taxpayers-NHS-crisis-wales-Sarah-Glenys-Merry,Daily Express,28 Feb 2019,Bungling NHS bosses continued to pay a former nurse tens of thousands of pounds of taxpayers' cash 17 months after she quit her job in a salary cock-up.,1
Death in Paradise 2019 spoilers: Will Jack Mooney be fired amid Florence Cassell shooting?,https://www.express.co.uk/showbiz/tv-radio/1089330/Death-in-Paradise-2019-spoilers-Jack-Mooney-fired-Ardal-OHanlon-Florence-Cassell,Daily Express,19 Feb 2019,DEATH IN PARADISE 2019 is starting to come to an end with only two more episodes left in the current series of the hit BBC show. But will Jack Mooney be...,1
Shamima Begum offers to ‘help’ British schoolgirls in new UK return plea: ‘I was TRICKED',https://www.express.co.uk/news/uk/1092042/shamima-begum-latest-isis-news-syria-jihadi-bride,Daily Express,25 Feb 2019,SHAMIMA Begum has offered to “help” British schoolgirls after claiming she was “tricked” into joining ISIS.,1
Shamima Begum: ISIS bride STRIPPED of British citizenship,https://www.express.co.uk/news/uk/1089546/shamima-begum-isis-islamic-state-bride-british-uk-citizenship-stripped-latest-updates,Daily Express,20 Feb 2019,"SHAMIMA Begum, the schoolgirl who travelled to Syria become an Islamic State (ISIS) bride, is to be stripped of her British citizenship.",1
Shamima Begum: ISIS bride names baby son ‘after Islamic warlord who massacred infidels',https://www.express.co.uk/news/uk/1089070/shamima-begum-isis-bride-syria-names-son-jerah-islamic-warlord,Daily Express,18 Feb 2019,"Shamima Begum: ISIS bride names baby son 'after Islamic warlord who massacred infidels' · ISLAMIC State bride Shamima Begum has named her newborn son Jerah,...",1
ITV GMB: Kate Garraway silences Terry Christian as HUGE Brexit row ERUPTS with Tim Martin,https://www.express.co.uk/showbiz/tv-radio/1087639/ITV-Good-Morning-Britain-Brexit-news-Tim-Martin-Terry-Christian-Kate-Garraway-video-watch,Daily Express,15 Feb 2019,"Good Morning Britain saw a Brexit row break out between Remainer Terry Christian and Leaver Tim Martin today on the programme, and Kate Garraway had to step in.",1
Jihadi bride latest: Shamima Begum stripped of British citizenship,https://www.express.co.uk/news/uk/1089734/Jihadi-bride-latest-Shamima-Begum-stripped-British-citizenship,Daily Express,20 Feb 2019,"JIHADI bride Shamima Begum is to lose her British citizenship, the Home Office told her family last night. The 19-year-old, who left the UK four years ago...",1
UK out of Syria? ISIS defeat could spark new Commons vote on British forces abroad,https://www.express.co.uk/news/world/1093410/isis-defeat-uk-military-mission-syria-jeremy-hunt-us-trump-syrian-democratic-forces,Daily Express,27 Feb 2019,BRITAIN could face a renewed vote on its military role in Syria after the ISIS caliphate is defeated.,1
END OF ISIS: Civilians FLEE stronghold ahead of final assault by US-backed forces,https://www.express.co.uk/news/world/1093404/isis-stronghold-baghouz-syrian-democratic-forces-final-assault,Daily Express,27 Feb 2019,AN EXODUS of more than 40000 civilians in underway in northern Syria as Islamic State (ISIS) fighters prepare to defend the last sliver of territory they...,2
Fury after three completely BALD puppies dumped by cruel owner - RSPCA issue alert,https://www.express.co.uk/news/uk/1089125/rspca-abandoned-pets-rescue-pets-bald-puppies-halifax-rspca,Daily Express,18 Feb 2019,THREE completely bald puppies suffering from an irritating skin condition were dumped by a hoodie-clad man outside at vets practice.,2
Shamima Begum: What does it mean now Begum's British citizenship has been revoked?,https://www.express.co.uk/news/uk/1089787/shamima-begum-british-citizenship-revoked-sajid-javid-home-office-isis-bride,Daily Express,20 Feb 2019,"Shamima Begum, who fled to Syria four years ago to become a jihadi bride, has said she wants to come back to Britain but have been told her UK citizenship will...",2
London bank robbery horror: Gunman storms Barclays bank and steals cash,https://www.express.co.uk/news/uk/1090427/london-bank-robbery-london-news-Vauxhall-Bridge-Road-barclays-bank-robbery,Daily Express,21 Feb 2019,"A man reportedly entered Barclays bank, armed with a firearm and demanded cash. A member of staff is said to have handed over a sum of money.",2
Shamima Begum: ‘She made a MISTAKE and must come back’ pleads ISIS bride’s father,https://www.express.co.uk/news/uk/1092453/Shamima-Begum-ISIS-bride-latest-father-UK-citizenship-syria-news-sajid-javid,Daily Express,26 Feb 2019,SHAMIMA Begum's father has begged the British Government to bring back his daughter while claiming that she “made a mistake” in joining ISIS.,2
ISIS jihadi bride Shamima Begum’s husband linked to Paris-style bomb attack plot,https://www.express.co.uk/news/uk/1087807/isis-syria-shamima-begum-husband-yago-riedijk-arnhem-terror-cell,Daily Express,15 Feb 2019,ISIS jihadi bride Shamima Begum's husband linked to Paris-style bomb attack plot · ISIS bride Shamima Begum's husband was linked to an Islamist terror cell...,2
Kim Kardashian leaves little to the imagination in barely-there outrageous dress,https://www.express.co.uk/celebrity-news/1088858/Kim-Kardashian-Instagram-pictures-dress-latest-news-beauty-awards-pictures,Daily Express,19 Feb 2019,KIM KARDASHIAN stole the spotlight at the Hollywood Beauty Awards last night in an incredible barely-there vintage gown.,2
ISIS bride reveals she still loves JIHADIST husband despite pleas to return to the UK,https://www.express.co.uk/news/uk/1088063/isis-Islamic-State-British-UK-bride-jihadist-baby-schoolgirl-bethnal-green-shamina-burgem,Daily Express,16 Feb 2019,PREGNANT ISIS bride Shamina Begum declares her love for jihadist husband and fears she might never see him again despite desperate plea to return to the UK.,2
Suicide challenge WARNING: Game urging children to KILL themselves goes viral in the UK,https://www.express.co.uk/news/uk/1090390/uk-momo-challenge-suicide-challenge-death-children-parents-warning,Daily Express,28 Feb 2019,"PARENTS are being warned about a sick game called the Momo challenge, where a terrifying character tells players to hurt themselves or others.",2
Lewis Hamilton and Nicole Scherzinger: Why did the F1 power couple break up?,https://www.express.co.uk/celebrity-news/1089093/Lewis-Hamilton-nicole-scherzinger-why-did-they-split-up-intimate-video-online,Daily Express,18 Feb 2019,LEWIS Hamilton and Nicole Scherzinger have been thrust back into the limelight after an intimate video surfaced online showing the pair in bed kissing and...,2
Put yourself in Shamima Begum’s shoes before you damn her out of hand,https://www.theguardian.com/commentisfree/2019/feb/24/shamima-begum-sajiv-javid,The Guardian,24 Feb 2019,There is a danger in allowing the vilification of Begum to go unchallenged. Turning someone into a monster is a protection mechanism: it absolves us from...,1
"Shamima Begum will not be allowed here, says Bangladesh",https://www.theguardian.com/uk-news/2019/feb/20/rights-of-shamima-begums-son-not-affected-says-javid,The Guardian,20 Feb 2019,“Bangladesh asserts that Ms Shamima Begum is not a Bangladeshi citizen. She is a British citizen by birth and never applied for dual nationality with Bangladesh...,1
Shahima Begum tells of fate of friends who joined Isis during half-term,https://www.theguardian.com/world/2019/feb/14/shamima-begum-friends-kadiza-sultana-amira-abase-joined-isis-syria,The Guardian,14 Feb 2019,Shamima Begum spoke to the Times on Wednesday (£) from a refugee camp in north-east Syria. She is nine months pregnant and desperate to come home to Britain.,1
Shamima Begum: decision risks 'creating second class of citizenship',https://www.theguardian.com/politics/2019/feb/22/shamima-begum-decision-risks-creating-second-class-of-citizenship,The Guardian,22 Feb 2019,The decision to strip Shamima Begum of her UK citizenship on the basis she is of Bangladeshi heritage could have implications for millions of people who...,1
Shamima Begum: will the plan to revoke her citizenship succeed?,https://www.theguardian.com/politics/2019/feb/20/shamima-begum-could-the-plan-to-revoke-her-citizenship-be-stopped,The Guardian,19 Feb 2019,"The home secretary, Sajid Javid, has ordered the Isis recruit Shamima Begum's citizenship to be revoked. Here are some of the key questions the move raises.",1
Isis Briton compares Manchester bombing to western airstrikes,https://www.theguardian.com/world/2019/feb/18/islamist-extremism-in-uk-shamima-begum,The Guardian,18 Feb 2019,Shamima Begum says she regrets innocent people died in attacks in both UK and Syria.,1
A British girl has asked to come home. We must meet our responsibility to her,https://www.theguardian.com/lifeandstyle/commentisfree/2019/feb/19/shamima-begum-groomed-british-teenage-girl-racist-britain,The Guardian,19 Feb 2019,A British girl has asked to come home. We must meet our responsibility to her ... Imagine this: a British teenage girl is groomed online at the age of 15. Stay...,1
Shamima Begum citizenship decision sets a dangerous precedent,https://www.theguardian.com/uk-news/2019/feb/21/shamima-begum-citizenship-decision-sets-a-dangerous-precedent,The Guardian,21 Feb 2019,The decision to deprive Shamima Begum of British citizenship on the grounds that her mother is a Bangladeshi citizen sets a dangerous precedent.,1
Former MI6 director says schoolgirl who joined Isis should be 'given a chance',https://www.theguardian.com/world/2019/feb/14/former-mi6-director-says-schoolgirl-shamima-begum-who-joined-isis-should-be-given-a-chance,The Guardian,14 Feb 2019,"Although Shamima Begum has shown no remorse, Richard Barrett says Britain should be strong enough to reabsorb her.",1
Shamima Begum and questions of responsibility – hers and ours,https://www.theguardian.com/uk-news/2019/feb/19/shamima-begum-and-questions-of-responsibility-hers-and-ours,The Guardian,19 Feb 2019,Shamima Begum and questions of responsibility – hers and ours ... Many words have been spilled in discussions over whether Shamima Begum and her newborn child...,1
The possibility of redemption is central to a humane society | Kenan Malik,https://www.theguardian.com/commentisfree/2019/feb/17/possibility-of-redemption-is-central-to-a-humane-society-shamima-begum,The Guardian,17 Feb 2019,"Whatever her actions are found to be, Britain cannot wash its hands of Shamima Begum.",2
Shamima Begum: Isis runaway asking for sympathy - video profile,https://www.theguardian.com/uk-news/video/2019/feb/22/shamima-begum-the-controversial-isis-runaway-asking-for-sympathy-video-profile,The Guardian,22 Feb 2019,"Shamima Begum has said she is “willing to change”, as she issued a plea to the UK government for “mercy” after the home secretary moved to strip her of her...",2
The Observer view on Shamima Begum,https://www.theguardian.com/commentisfree/2019/feb/17/the-observer-view-on-shamima-begum,The Guardian,17 Feb 2019,"Begum may be considered a security threat, but may not have committed crimes beyond supporting Isis, or the evidence for crimes of which she is suspected may be...",2
What is the truth about Shamima Begum's citizenship status?,https://www.theguardian.com/uk-news/2019/feb/21/what-is-the-truth-about-shamima-begums-citizenship-status,The Guardian,21 Feb 2019,"What is Shamima Begum's citizenship status right now? According to the UK government, she is no longer a British citizen. The Home Office wrote to Begum's...",2
Taking Shamima Begum's citizenship risks making her a martyr | Robert Verkaik,https://www.theguardian.com/politics/2019/feb/19/taking-shamima-begums-citizenship-risks-making-her-a-martyr,The Guardian,19 Feb 2019,Taking Shamima Begum's citizenship risks making her a martyr ... The decision to strip Shamima Begum of her citizenship will turn a young British woman into a...,2
UK shooting range uses Shamima Begum image for targets,https://www.theguardian.com/uk-news/2019/feb/27/uk-shooting-range-uses-shamima-begum-image-for-targets,The Guardian,27 Feb 2019,"UK shooting range uses Shamima Begum image for targets ... A shooting range in The Wirral has defended its use of targets with an image of Shamima Begum, the...",2
"Shamima Begum may have criminalised herself, says senior terrorism officer",https://www.theguardian.com/world/2019/feb/15/mi6-chief-britons-joined-isis-cannot-stopped-returning-shamima-begum,The Guardian,15 Feb 2019,"Scotland Yard's counter-terrorism command has a live investigation into Begum, which intensified after she declared her wish to return. Officials are confident...",2
Second Briton says he wants to be allowed back to UK from Syria,https://www.theguardian.com/uk-news/2019/feb/22/jihadi-jack-pleads-to-be-allowed-back-to-uk-from-syria,The Guardian,22 Feb 2019,Jack Letts left the country a year before Shamima Begum and is suspected of joining Isis.,2
Britain could deradicalise Shamima Begum – with compassion | Dawn Foster,https://www.theguardian.com/commentisfree/2019/feb/18/britain-deradicalise-shemima-begum-isis,The Guardian,18 Feb 2019,"The CCTV images of the three teenage girls Shamima Begum, Kadiza Sultana and Amira Abase passing through Gatwick airport four years ago en route to join the...",2
Sajid Javid: difficult to strip Shamima Begum of UK citizenship,https://www.theguardian.com/uk-news/2019/feb/27/sajid-javid-difficult-to-strip-shamima-begum-of-uk-citizenship,The Guardian,27 Feb 2019,Sajid Javid: difficult to strip Shamima Begum of UK citizenship ... Sajid Javid has indicated it could prove hugely difficult to strip Shamima Begum of her UK...,2
